Search Results: Wisconsin / 2016 
FIPS code,State,Jurisdiction,Division,Precincts,Total Registration,Make,Model,Equipment Type,VVPAT,Accessible Use,Early Voting,Absentee Ballots,Polling Place
5500518600,Wisconsin,Barron Town,Dallas,1,324,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500518600,Wisconsin,Barron Town,Dallas,1,324,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500518575,Wisconsin,Barron Village,Dallas,1,212,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500520650,Wisconsin,Barron Town,Dovre,1,408,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500520650,Wisconsin,Barron Town,Dovre,1,408,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500520750,Wisconsin,Barron Town,Doyle,1,312,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500520750,Wisconsin,Barron Town,Doyle,1,312,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500533225,Wisconsin,Barron Village,Haugen,1,188,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500533225,Wisconsin,Barron Village,Haugen,1,188,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500541600,Wisconsin,Barron Town,Lakeland,1,643,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500541600,Wisconsin,Barron Town,Lakeland,1,643,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500548825,Wisconsin,Barron Town,Maple Grove,1,563,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500548825,Wisconsin,Barron Town,Maple Grove,1,563,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500548950,Wisconsin,Barron Town,Maple Plain,1,535,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500548950,Wisconsin,Barron Town,Maple Plain,1,535,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500558950,Wisconsin,Barron Town,Oak Grove,1,542,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500558950,Wisconsin,Barron Town,Oak Grove,1,542,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500565150,Wisconsin,Barron Village,Prairie Farm,1,215,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500565175,Wisconsin,Barron Town,Prairie Farm,1,324,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500565175,Wisconsin,Barron Town,Prairie Farm,1,324,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500565150,Wisconsin,Barron Village,Prairie Farm,1,215,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500565200,Wisconsin,Barron Town,Prairie Lake,1,923,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500565200,Wisconsin,Barron Town,Prairie Lake,1,923,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500567350,Wisconsin,Barron City,Rice Lake,1,4524,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500567350,Wisconsin,Barron City,Rice Lake,1,4524,Sequoia (Dominion),Optech Insight,Optical Scan,N/A,No,Yes,Yes,Yes
5500567375,Wisconsin,Barron Town,Rice Lake,1,1809,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500567375,Wisconsin,Barron Town,Rice Lake,1,1809,Sequoia (Dominion),Optech Insight,Optical Scan,N/A,No,Yes,Yes,Yes
5500574125,Wisconsin,Barron Town,Sioux Creek,1,362,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500574125,Wisconsin,Barron Town,Sioux Creek,1,362,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500576550,Wisconsin,Barron Town,Stanfold,1,409,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500576550,Wisconsin,Barron Town,Stanfold,1,409,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500576600,Wisconsin,Barron Town,Stanley,1,1465,Sequoia (Dominion),Optech Insight,Optical Scan,N/A,No,Yes,Yes,Yes
